196
240
21	19
21	6
18	6
18	41
14	22
14	13
13	8
13	14
20	31
7	8
7	14
54	22
54	13
23	6
13	8
13	33
22	6
22	5
28	11
56	19
56	12
11	16
11	3
20	6
10	8
10	33
9	16
9	3
4	8
4	17
9	20
9	19
15	8
6	6
6	5
6	3
6	5
23	17
28	5
28	6
53	11
6	20
6	19
17	3
17	5
12	39
12	8
8	31
8	41
23	23
23	12
9	9
9	16
18	6
13	20
13	21
25	5
25	6
25	19
16	7
16	5
9	9
9	16
12	20
12	21
10	23
10	12
9	7
9	5
7	25
7	6
47	16
14	16
14	8
16	21
4	2
4	4
11	11
11	29
54	10
54	13
70	13
13	7
13	3
25	7
12	2
12	4
32	11
9	22
9	7
12	7
12	3
33	16
33	8
21	14
21	7
27	6
10	6
10	16
23	7
45	10
45	7
10	2
10	4
13	16
6	14
6	7
3	2
3	4
13	13
13	14
8	7
8	33
34	16
28	12
28	12
30	7
19	4
19	29
51	10
51	13
25	13
21	4
21	10
11	4
11	29
26	9
26	4
35	17
6	12
6	12
4	4
4	10
10	8
2	13
2	6
12	10
12	3
16	22
16	18
20	7
16	17
16	3
8	13
8	6
10	8
10	19
8	10
8	3
9	9
9	4
14	22
7	9
7	9
4	17
4	3
17	19
17	8
11	8
11	5
10	7
10	20
7	9
7	9
20	19
20	4
10	4
10	26
11	19
11	21
3	3
3	6
13	18
27	8
27	5
10	3
10	6
24	4
21	5
21	21
21	19
21	8
17	19
17	21
15	9
6	5
6	13
14	19
14	4
9	5
7	4
7	9
3	5
3	21
2	4
2	9



17
200
82 38
37 13
81 22
16 25
21 64
29 55
52 178
98 39
102 37
46 103
29 86
10 37
63 26
50 11
13 40
60 29
119 20

